rest,type,address,address_info,number,site,info,img_url,Mon,Tue,Wen,Thu,Fri,Sat,Sun,lat,lng
진주국밥 본점,국밥,경남 진주시 진주대로920번길 12-6 1층,찾아가는길칠암동 세무서 주차장출구앞 저희 진주국밥은 진주내 체인점이 없습니다. 본점만 운영합니다~내용 더보기,055-757-9992,https://baemin.me/hGWqTc8_E,주차,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230713_211%2F1689248966746hzQ18_JPEG%2F20230707_124037.jpg,"월10:00 - 21:00
15:00 - 17:00 브레이크타임
20:30 라스트오더","화10:00 - 21:00
15:00 - 17:00 브레이크타임
20:30 라스트오더","수10:00 - 21:00
15:00 - 17:00 브레이크타임
20:30 라스트오더","목10:00 - 21:00
15:00 - 17:00 브레이크타임
20:30 라스트오더","금10:00 - 21:00
15:00 - 17:00 브레이크타임
20:30 라스트오더","토10:00 - 14:30
14:00 라스트오더",일정기휴무 (매주 일요일),35.1821674,128.0906101
보교포차,술집,경남 진주시 동진로34번길 7 2층,찾아가는길경상대학교 칠암캠퍼스 건너편 술집골목으로 들어오셔서 보교포차를 외쳐주시면 레드카페트와 함께 맞이하러 가겠습니다내용 더보기,0507-1404-5662,,"단체 이용 가능, 예약, 무선 인터넷, 남/녀 화장실 구분, 노키즈존",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20241028_240%2F17301128362655br2c_JPEG%2FKakaoTalk_20241028_192036779_02.jpg,"월18:00 - 02:00
01:00 라스트오더","화18:00 - 02:00
01:00 라스트오더","수18:00 - 02:00
01:00 라스트오더","목18:00 - 02:00
01:00 라스트오더","금18:00 - 02:00
01:00 라스트오더","토18:00 - 02:00
01:00 라스트오더",일정기휴무 (매주 일요일),35.1785293,128.0951261
고구려,중식당,경남 진주시 동진로20번길 13 2층,찾아가는길칠암동 고속버스 터미널 뒷편,055-752-1199,,"단체 이용 가능, 주차, 포장, 배달, 예약, 남/녀 화장실 구분, 무선 인터넷",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240727_212%2F1722059005350U8TbE_JPEG%2FIMG_20240724_2_%25281%2529.jpg,"매일11:00 - 22:00
21:30 라스트오더",,,,,,,35.1778741,128.0937436
대지식당,오리요리,경남 진주시 강남로177번길 15 1층,찾아가는길진주 미르치과에서 강변쪽으로 400m 직진해서 보이는 빨간 벽돌 주택. 강변에서 오실 때는 강변 사우나 골목으로 진입해서 200m 직진하면 됩니다.내용 더보기,0507-1472-2783,https://www.instagram.com/djduck5292,"예약, 단체 이용 가능, 포장, 무선 인터넷, 남/녀 화장실 구분",https://search.pstatic.net/common/?src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyNTAxMTBfODgg%2FMDAxNzM2NTA3Mzk4NDE0.lgTrleuzzgy2izsHvrsZwi-ZoFjcOAG77A1XwaMcfRsg.-L7ioZC6l2KaDIJd6Y2l_IEmSd-CbegQzmjw9_MRip4g.JPEG%2F1000033448.jpg.jpg%3Ftype%3Dw1500_60_sharpen,월정기휴무 (매주 월요일),"화11:00 - 21:30
14:30 - 17:00 브레이크타임
20:30 라스트오더","수11:00 - 21:30
14:30 - 17:00 브레이크타임
20:30 라스트오더","목11:00 - 21:30
14:30 - 17:00 브레이크타임
20:30 라스트오더","금11:00 - 21:30
14:30 - 17:00 브레이크타임
20:30 라스트오더","토11:00 - 21:30
14:30 - 17:00 브레이크타임
20:30 라스트오더","일11:00 - 21:30
14:30 - 17:00 브레이크타임
20:30 라스트오더",35.1833991,128.0935954
오코스 진주칠암본점,요리주점,경남 진주시 동진로50번길 8 1층,찾아가는길1)자차 이용시 경상남도 진주시 동진로 50번길 8 검색하시고 도착하시면 1층에 위치해 있습니다. 2)대중교통이용시 경상국립대 칠암캠퍼스정문 버스 정류장에서 하차하시고 꼬밥 매장 골목으로 들어오셔서 50m 앞으로 오시면 매장이 위치해 있습니다. 3)주차관련 매장에 주...내용 더보기,0507-1371-5162,https://www.instagram.com/okos_jinju,"무선 인터넷, 단체 이용 가능, 예약",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230614_83%2F1686735978679G53oz_JPEG%2FKakaoTalk_20230613_133852584_17.jpg,"월17:00 - 02:00
01:00 라스트오더","화17:00 - 02:00
01:00 라스트오더","수17:00 - 02:00
01:00 라스트오더","목17:00 - 02:00
01:00 라스트오더","금17:00 - 02:00
01:00 라스트오더","토17:00 - 02:00
01:00 라스트오더",일(3/2)17:00 - 02:00,35.1783911,128.0965253
뚱보화로불고기 칠암점,"육류,고기요리",경남 진주시 강남로 107,,055-757-2888,,"주차, 단체 이용 가능, 무선 인터넷, 남/녀 화장실 구분",https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyNDA2MTVfMTU0%2FMDAxNzE4NDA5NDcxNjc1.-D1WIbVBRXoq152QR4vP1Vz3eeQSq8QyahfY76n82GYg.vn8bOilzhWTsO0BYQ10IYeHAA5dGag9E8Lq2bo2f4ikg.JPEG%2FIMG_5554.jpg,월(3/3)대체공휴일(삼일절)11:30 - 21:30,"화11:30 - 21:30
21:00 라스트오더","수11:30 - 21:30
21:00 라스트오더","목11:30 - 21:30
21:00 라스트오더","금11:30 - 21:30
21:00 라스트오더","토11:30 - 21:30
21:00 라스트오더","일11:30 - 21:30
21:00 라스트오더",35.1781127,128.0977217
회초랑,생선회,경남 진주시 강남로 163-1 1층,"찾아가는길1. 칠암동 진주 문화예술회관에서 경상대 병원 방향으로 500미터에 위치. 2. 칠암동 세무소골목 강변길에서 경상대 병원 방향으로 10미터에 위치. 3. 택시 타고 오실 때 칠암동 회타령이라고 하면 됩니다. 4. (구)회타령에서 2009년 5월 상호변경, 대표자 및 주방장 똑같아요.내용 더보기",0507-1471-0250,https://badda.modoo.at,"포장, 단체 이용 가능, 무선 인터넷, 예약, 유아의자, 간편결제, 주차",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220802_168%2F16594323815572tvx4_JPEG%2F20220722_173421.jpg,"월17:00 - 22:00
21:00 라스트오더","화17:00 - 22:00
21:00 라스트오더","수17:00 - 22:00
21:00 라스트오더","목17:00 - 22:00
21:00 라스트오더","금17:00 - 22:00
21:00 라스트오더","토17:00 - 22:00
21:00 라스트오더",일정기휴무 (매주 일요일),35.182847,128.0957329
오봉도시락 과학기술대점,"도시락,컵밥",경남 진주시 동진로 40,찾아가는길진주 경남과학기술대 정문에 위치하고 있습니다.,055-762-5027,http://iobong.co.kr/,"포장, 배달",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_68%2F1441114194583i1u4F_JPEG%2FSUBMIT_1434075429055_30954821.jpg,월09:00 - 20:00,화09:00 - 20:00,수09:00 - 20:00,목09:00 - 20:00,금09:00 - 20:00,토정기휴무 (매주 토요일),일09:00 - 20:00,35.1787886,128.0955034
1440수제돈까스,돈가스,경남 진주시 강남로189번길 24-1 1440수제돈까스 1층,찾아가는길칠암동 권돼지국밥 맞은편 입니다.,055-755-1440,,주차,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191113_193%2F1573635497562ksXWX_JPEG%2FESqIiLFxGYuT8Ad7k5QSIKJU.JPG.jpg,월(3/3)대체공휴일(삼일절) 휴무,"화11:30 - 21:00
14:00 - 17:00 브레이크타임
20:00 라스트오더","수11:30 - 21:00
14:00 - 17:00 브레이크타임
20:00 라스트오더","목11:30 - 21:00
14:00 - 17:00 브레이크타임
20:00 라스트오더","금11:30 - 21:00
14:00 - 17:00 브레이크타임
20:00 라스트오더","토11:30 - 21:00
14:00 - 17:00 브레이크타임
20:00 라스트오더",일정기휴무 (매주 일요일),35.1842855,128.0919893
도리명가 칠암본점,한식,경남 진주시 동진로38번길 11,,055-762-1577,,"포장, 단체 이용 가능, 주차, 예약, 남/녀 화장실 구분, 배달, 무선 인터넷",https://search.pstatic.net/common/?src=https%3A%2F%2Fnaverbooking-phinf.pstatic.net%2F20230420_85%2F1681977687164WptI1_JPEG%2FKakaoTalk_20230420_170010070.jpg,월10:00 - 23:00,화10:00 - 23:00,수10:00 - 23:00,목10:00 - 23:00,금10:00 - 23:00,토10:00 - 23:00,일12:00 - 23:00,35.1784557,128.0959056
대복갈비살,소고기구이,경남 진주시 진주대로866번길 10 1층 대복갈비살,찾아가는길칠암동 고속버스터미널 뒷골목 이며 진주아웃벡 뒤에 위치하고있습니다. 주차는 고려병원주차장을 전용주차장으로 사용 하고있습니다.내용 더보기,0507-1357-7262,https://blog.naver.com/anseunggyu,"예약, 포장, 단체 이용 가능, 무선 인터넷, 주차",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190104_238%2F15465528688039wRCd_JPEG%2FGWaIXtg5QdSqgxKm1NJDbtSN.jpg,월(3/3)대체공휴일(삼일절)17:30 - 23:00,"화17:30 - 23:00
22:00 라스트오더","수17:30 - 23:00
22:00 라스트오더","목17:30 - 23:00
22:00 라스트오더","금17:30 - 23:00
22:00 라스트오더","토17:30 - 23:00
22:00 라스트오더",일정기휴무 (매주 일요일),35.1777535,128.0925855
청월 진주칠암본점,"오뎅,꼬치",경남 진주시 동진로38번길 18 1층,찾아가는길- 진주시 칠암동 121-6에 위치해 있습니다. -경상국립대학교 칠암캠퍼스 앞 골목을 지나 대학 꽃집 사거리 기준으로 우측편으로 걸어오다보면 도리명가를 지나 수해복 대각선에 위치하고 있습니다. -대중교통을 이용하시는 경우 : 경상국립대학교칠암캠퍼스에 하차하여 꼬밥 ...내용 더보기,070-8095-3931,https://www.instagram.com/cheong__wol_,"무선 인터넷, 대기공간, 간편결제",https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyNDA5MjNfNjkg%2FMDAxNzI3MDgyNTM3OTMy.LVYjdnjHOzcF-S5-L_p8ZuEVPu_TC1kiYTFbiJ2eGzog.BDe3I4X_1iXaNVk6eJAJJJoupWB-1pwjuD2tlMbnMYUg.JPEG%2FIMG_1343.JPG,"월18:00 - 03:00
01:30 라스트오더","화18:00 - 03:00
01:30 라스트오더","수18:00 - 03:00
01:30 라스트오더","목18:00 - 03:00
01:30 라스트오더","금18:00 - 03:00
01:30 라스트오더","토18:00 - 03:00
01:30 라스트오더",일정기휴무 (매주 일요일),35.1783911,128.0964101
날마다 짬뽕,중식당,경남 진주시 강남로167번길 30-2 1층,찾아가는길진주세무서와 소방서 사이에 예쁘게 자리잡고 있습니다^^,0507-1462-5776,https://www.instagram.com/nalmada_7615776/,"무선 인터넷, 단체 이용 가능, 포장, 배달, 예약, 남/녀 화장실 구분, 유아의자",https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyNDA2MTJfMTE1%2FMDAxNzE4MTUxMzE4ODgx.ma3PuoBtfVSKMl3pq1Gk4svi4deLn5G1joN6kBjyO20g.161wIARemn47SRv3dgxvQv2qX2J7Ia7UmdOFeZPWoj0g.JPEG%2FIMG_8693.jpg,"월(3/3)대체공휴일(삼일절)11:00 - 20:00
14:30 - 17:00 브레이크타임","화11:00 - 20:00
14:30 - 17:00 브레이크타임","수11:00 - 20:00
14:30 - 17:00 브레이크타임","목11:00 - 20:00
14:30 - 17:00 브레이크타임","금11:00 - 20:00
14:30 - 17:00 브레이크타임",토11:00 - 14:00,일11:00 - 14:00,35.1823931,128.0926447
우리돼지나라칠암점,국밥,경남 진주시 진주대로920번길 16 1층,,055-761-7588,,"단체 이용 가능, 포장, 배달, 예약, 무선 인터넷, 유아의자, 간편결제",https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyNTAxMDRfNzMg%2FMDAxNzM1OTg2NjQzOTcy.v4K_26AuARVMYUv1jYED990-HVQA-WAk9P5-AA042vIg.IwxgpewMXbA8uSvraO_Tcg4v1rKbQmSsCCXwzQmuUsIg.JPEG%2FIMG_6595.JPG,"월10:00 - 22:00
21:30 라스트오더","화(3/4)정기휴무 (매달 1, 3, 5번째 화요일)","수10:00 - 22:00
21:30 라스트오더","목10:00 - 22:00
21:30 라스트오더","금10:00 - 22:00
21:30 라스트오더","토10:00 - 22:00
21:30 라스트오더","일10:00 - 22:00
21:30 라스트오더",35.1826501,128.0910342
진성식당,한식,경남 진주시 진주대로948번길 6-1,,055-752-0114,,,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyNDEwMTFfMjQg%2FMDAxNzI4NjI4MTI0NTYy.NL75Ti_xHhwAUB--TfL7agogLjRpcQY8oI5W0vdCQq8g.Weow9zErl5iKpihSHGEsBdz_knCmgK8dIrFne46jK2sg.JPEG%2FIMG_4807.JPG,"매일10:30 - 20:30
20:00 라스트오더",,,,,,,35.1845973,128.0888815
소우리,한식,경남 진주시 진주대로920번길 11-2 1층 소우리,,055-753-7070,,,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201223_44%2F1608704820991DiENu_JPEG%2FvL8h2m8pWZHj7gOrAg0lhFkl.jpg,"매일11:30 - 21:30
15:00 - 17:00 브레이크타임
20:30 라스트오더",,,,,,,35.1828003,128.0906226
알로하스시 칠암점,"초밥,롤",경남 진주시 동진로20번길 9 1층,"찾아가는길진주고속터미널 옆, 아주스타타워 뒷편",055-762-3977,,"단체 이용 가능, 포장, 배달, 예약, 유아의자, 무선 인터넷",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240315_183%2F1710513117747qe62L_JPEG%2FKakaoTalk_20240315_232633827_01.jpg,"월11:30 - 21:00
15:00 - 17:00 브레이크타임
20:20 라스트오더","화11:30 - 21:00
15:00 - 17:00 브레이크타임
20:20 라스트오더","수11:30 - 21:00
15:00 - 17:00 브레이크타임
20:20 라스트오더","목11:30 - 21:00
15:00 - 17:00 브레이크타임
20:20 라스트오더","금11:30 - 21:00
15:00 - 17:00 브레이크타임
20:20 라스트오더","토11:30 - 21:00
15:20 - 17:00 브레이크타임
20:20 라스트오더",일정기휴무 (매주 일요일),35.178103,128.0936641
개화칼국수,"칼국수,만두",경남 진주시 강남로95번길 18-1 1층,찾아가는길경상대학병원 후문에서 나와 장례식장 맞은편에 위치해있습니다. 도보로 이용할 경우 - (구) 과기대 정문 바로 앞 골목으로 들어오셔서 CU 사거리에서 직진하시면 경상대병원 장례식장 맞은편에 위치해있습니다. 버스를 이용할 경우 - 고속버스터미널 정류장에서 하차 후 과...내용 더보기,070-8028-4930,https://www.instagram.com/gaehwa_jinju_?igsh=YWZ6MmU2Y2xweDZr&utm_source=qr,"포장, 배달, 예약, 무선 인터넷, 대기공간",https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyNDEyMDNfMjU5%2FMDAxNzMzMjAxMzQyNTc2.EKwRBbJadeFkrahnsSWRt2cBnsDSFEVK-h3i-rr4cG4g.s34Ym6DsWt7CBGnA3ytcUzw1NNy5e3zotdOpsKp_nFgg.JPEG%2FKakaoTalk_20241130_184506747.jpg,월정기휴무 (매주 월요일),"화11:30 - 20:00
15:00 - 17:00 브레이크타임
14:30, 19:30 라스트오더","수11:30 - 20:00
15:00 - 17:00 브레이크타임
14:30, 19:30 라스트오더","목11:30 - 20:00
15:00 - 17:00 브레이크타임
14:30, 19:30 라스트오더","금11:30 - 20:00
15:00 - 17:00 브레이크타임
14:30, 19:30 라스트오더","토11:30 - 20:00
15:00 - 17:00 브레이크타임
14:30, 19:30 라스트오더","일11:30 - 20:00
15:00 - 17:00 브레이크타임
14:30, 19:30 라스트오더",35.1777235,128.0957964
해오,베트남음식,경남 진주시 동진로20번길 23 1층,찾아가는길고속버스터미널 기준 경상대학교의대쪽으로 내려오셔서 왼쪽으로 200m정도 걸어오시면 오실 수 있고 경상대학교 칠암캠퍼스기준 정문에서 직진하셔서 오른쪽으로 150m정도 오시면 됩니다 감사합니다!,055-762-6424,,,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230516_274%2F1684229087149LvP8u_JPEG%2FJPEG_20230516_182432_850607506916267987.jpg,"월11:00 - 20:00
15:00 - 17:00 브레이크타임
19:30 라스트오더","화11:00 - 20:00
15:00 - 17:00 브레이크타임
19:30 라스트오더","수11:00 - 20:00
15:00 - 17:00 브레이크타임
19:30 라스트오더","목11:00 - 20:00
15:00 - 17:00 브레이크타임
19:30 라스트오더","금11:00 - 20:00
15:00 - 17:00 브레이크타임
19:30 라스트오더","토11:00 - 20:00
15:00 - 17:00 브레이크타임
19:30 라스트오더",일정기휴무 (매주 일요일),35.1778915,128.0943726
이삭토스트 진주경남과기대점,토스트,경남 진주시 동진로 28 M코아빌딩,,055-752-7434,https://blog.naver.com/isaac-toast,포장,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240429_10%2F1714362212485GnOUa_JPEG%2F1.jpg,"월09:00 - 22:30
22:20 라스트오더","화09:00 - 22:30
22:20 라스트오더","수09:00 - 22:30
22:20 라스트오더","목09:00 - 22:30
22:20 라스트오더","금09:00 - 22:30
22:20 라스트오더","토09:00 - 22:30
22:20 라스트오더","일09:00 - 22:30
22:20 라스트오더",35.1786707,128.094155
미양샤브,국밥,"경남 진주시 동진로 22 201, 202호",찾아가는길칠암동 고속버스터미널옆 스타벅스건물 아주스타타워 2층입니다내용 더보기,0507-1466-3666,,"단체 이용 가능, 포장, 예약, 무선 인터넷, 남/녀 화장실 구분, 유아의자, 주차",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240318_292%2F1710743217183EuS5v_JPEG%2F1000007148.jpg,"월11:00 - 21:30
15:00 - 17:00 브레이크타임
20:40 라스트오더","화11:00 - 21:30
15:00 - 17:00 브레이크타임
20:40 라스트오더","수11:00 - 21:30
15:00 - 17:00 브레이크타임
20:40 라스트오더","목11:00 - 21:30
15:00 - 17:00 브레이크타임
20:40 라스트오더","금11:00 - 21:30
15:00 - 17:00 브레이크타임
20:40 라스트오더","토11:00 - 21:30
15:00 - 17:00 브레이크타임
20:40 라스트오더",일정기휴무 (매주 일요일),35.1785249,128.0936232
양조별관 진주칠암점,"전통,민속주점",경남 진주시 동진로34번길 6-4 2층,"찾아가는길[버스, 대중교통으로 방문 시 오시는 길] 250번, 251번, 280번, 290번 등을 타고 고속버스터미널 정거장에서 하차한 후 사거리 GS25 편의점 골목으로 들어오시면 흐루 옆, 번개포차 맞은편 2층에 위치하고 있습니다. * 고속버스터미널 정거장에서 도보로 2분 소요됩니다. [자차...내용 더보기",070-4333-8887,https://www.instagram.com/yangjo_byeolgwan,"단체 이용 가능, 예약, 무선 인터넷, 남/녀 화장실 구분",https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyNDA4MjNfNjgg%2FMDAxNzI0NDI0NjUyMDA5.Qmk1pSrWZRzc-bmqm2sPKjlSAMm0hAv6brYmjsgDdDcg.ZaV-hkmtXumsNxujilY9A-jUsWzghfjOSQw9qWo4LVMg.JPEG%2FIMG_7500.JPG,"매일18:00 - 02:00
01:00 라스트오더",,,,,,,35.1786173,128.0946564
무공돈까스 진주칠암점,돈가스,경남 진주시 동진로 22 105호,,0507-1437-0724,,"포장, 무선 인터넷",https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyNDEwMDZfMjc0%2FMDAxNzI4MTczODc4NzQx.FHAaA0jKXMUZzemsrzEr7UPHtpWmDoZe9tAnY6T27Oog._V038wnrs0NxAxauUMjiREw7zkhboabVp4dceimI_aEg.JPEG%2FIMG_4610.jpg,"월11:00 - 20:30
15:00 - 17:00 브레이크타임
20:00 라스트오더","화11:00 - 20:30
15:00 - 17:00 브레이크타임
20:00 라스트오더","수11:00 - 20:30
15:00 - 17:00 브레이크타임
20:00 라스트오더",목정기휴무 (매주 목요일),"금11:00 - 20:30
15:00 - 17:00 브레이크타임
20:00 라스트오더","토11:00 - 20:30
15:00 - 17:00 브레이크타임
20:00 라스트오더","일11:00 - 20:30
15:00 - 17:00 브레이크타임
20:00 라스트오더",35.1785249,128.0936232
불돈생돈 산업대점,"육류,고기요리",경남 진주시 동진로20번길 29,,0507-1326-4841,,"단체 이용 가능, 예약, 무선 인터넷, 포장, 남/녀 화장실 구분",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200613_102%2F1592028662260XxN72_JPEG%2Fqhkbd4tIFUSQuiE3xidWSkYp.jpeg.jpg,"매일11:00 - 22:50
22:20 라스트오더",,,,,,,35.1781161,128.0949588
소문난반성장터국밥,국밥,경남 진주시 동진로 50 1층,,055-752-1030,,,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyNDEyMDNfMTI4%2FMDAxNzMzMjA0NzE5OTE1.BLcAPzgrLzJ-Di_giO-_4xWcRZVKvmawnjpTjntEpCIg.-3xe1syn_3Mz9hYncLTociKOF6GmTtpxdDFF-n-g9Mgg.JPEG%2FKakaoTalk_20241203_140810828.jpg,,,,,,,,35.1788323,128.0966514
본죽 진주칠암점,죽,경남 진주시 동진로 19,"찾아가는길진주 고속버스 터미널 맞은편, 진주역 부근",055-763-0098,https://www.bonif.co.kr/menu/list?brdCd=BF101,예약,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMjExMzBfMjk1%2FMDAxNjY5Nzc0ODk0MTYz.YTSIgskFpf1J5tkxf7grct3hXTlWtTuIdNMpObDjZ14g.kSpcPwPyNmLHrOC_UYIAGQejuCrWwdO3YR2fC7hTgBcg.JPEG.sinae1096%2FIMG_9768.jpg,월09:30 - 20:30,화09:30 - 20:30,수09:30 - 20:30,목09:30 - 20:30,금09:30 - 20:30,토09:30 - 20:00,일09:30 - 20:00,35.1790554,128.0932053
